Punto;Este;Norte;LAEQ
1;2.784.285.923;8.661.416.842;660.574.055
2;2.784.438.365;8661522.38;655.829.979
3;2.786.130.076;8661631.83;7.079.693.793
4;2.785.679.852;8.661.544.512;6.896.264.177
5;2.784.968.059;8.661.436.099;613.140.731
6;2.788.278.333;8.661.459.156;7.066.009.138
7;2.783.509.809;8.662.374.608;7.574.587.907
8;2.783.740.622;8.661.852.707;7.166.435.626
9;2.781.576.358;8.661.404.436;7.190.153.112
10;2.782.262.881;8.661.175.659;6.279.031.119
11;2.782.997.709;8661161.44;7.103.567.909
12;2.783.988.682;8.660.745.301;6.630.196.497
13;2.785.621.475;8.660.761.542;6.715.463.508
14;2.787.562.254;8.661.206.088;6.670.698.927
15;2.787.377.172;8.662.021.155;7.285.566.865
16;2.786.785.787;8.661.870.253;7.724.602.277
17;2.782.582.575;8.662.008.434;7.005.232.053
18;2.782.139.918;8662122.5;6.793.436.322
19;278.147.976;8662519.82;6.820.750.564
20;2.789.294.314;8.662.555.436;6.472.642.477
21;2.789.664.336;8.662.530.089;6.236.730.814
22;279.045.958;8.662.533.142;7.442.360.199
23;2.790.073.141;8662397.22;7.114.427.055
24;2.792.095.977;8.662.382.452;7.094.216.572
25;279155.15;8.662.177.198;6.844.787.647
26;2.793.248.817;8.662.626.553;6.362.880.103
27;2.793.530.923;8.662.574.286;713.575.049
28;2.791.224.615;8.662.187.101;6.932.650.918
29;2.789.191.029;8661673.18;7.318.922.512
30;2.789.609.822;8.661.922.854;7.345.577.357
31;2.791.477.492;8.661.952.215;7.396.053.066
32;2.796.507.523;8.662.353.896;6.804.051.135
33;2.797.346.546;8.662.333.966;6.944.622.209
34;279.428.932;8.661.661.487;7.171.798.453
35;2.793.597.437;8.661.817.642;6.851.380.861
36;2.792.687.642;8.661.255.789;7.324.412.446
37;2.789.487.234;8.661.187.971;7.286.283.131
38;277.190.181;8.662.387.779;7.174.598.436
39;2.773.427.241;8.662.219.092;751.414.981
40;2.780.816.329;8.661.798.852;6.534.310.243
41;2.778.502.594;8.661.561.884;7.156.360.754
42;2.773.987.076;8.661.637.238;7.111.243.659
43;2.778.589.194;8.661.882.762;6.357.779.549
44;2.776.770.109;8.662.123.527;6.275.815.649
45;2.775.978.061;8.662.044.013;7.136.109.983
46;2.774.474.938;8.661.967.872;6.599.232.956
47;2.771.985.837;8.661.916.698;6.500.184.788
48;2.769.646.333;8.661.926.759;6.311.284.027
49;2.768.378.455;8.661.967.297;6.701.683.312
50;2.767.433.427;8.661.453.507;6.983.173.305
51;2.769.464.122;8.661.226.955;7.454.795.961
52;2.776.098.429;8.661.034.959;6.537.187.905
53;2.776.568.299;8661144.43;6.767.623.502
54;2.776.728.291;8.661.262.784;6.605.469.555
